Airline,Aircraft Variant,Image Count
Korean Air,Airbus A330-300/-900 NEO (A333/A339),18
Korean Air,Airbus A350-900 XWB (A359),9
Korean Air,Airbus A380-800 (A388),9
Korean Air,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),8
Korean Air,Boeing 737-900/-900ER/Boeing 737 MAX 9 (B739/B39M),13
Korean Air,Boeing 747-400 (B744),6
Korean Air,Boeing 747-8 (B748),19
Korean Air,Boeing 777-200/-200ER/-200LR/F (B772/B77L),17
Korean Air,Boeing 777-300/-300ER (B773/B77W),43
Korean Air,Boeing 787-10 (B78X),32
Korean Air,Boeing 787-9 (B789),15
Korean Air,Bombardier CS300/Airbus A220-300 (BCS3),2
Korean Air,Bombardier Global 6000/6500/Global Express (GLEX),1
LATAM Airlines,Airbus A319-100/A319 NEO (A319/A19N),6
LATAM Airlines,Airbus A320-100/-200/A320 NEO (A320/A20N),35
LATAM Airlines,Airbus A321-100/-200/A321 NEO (A321/A21N),12
LATAM Airlines,Boeing 767-300/-300ER (B763),28
LATAM Airlines,Boeing 777-300/-300ER (B773/B77W),13
LATAM Airlines,Boeing 787-8 (B788),3
LATAM Airlines,Boeing 787-9 (B789),14
LOT - Polish Airlines / Polskie Linie Lotnicze,ATR 72 (AT72/AT73/AT74/AT75/AT76),2
LOT - Polish Airlines / Polskie Linie Lotnicze,Boeing 737-400 (B734),3
LOT - Polish Airlines / Polskie Linie Lotnicze,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),30
LOT - Polish Airlines / Polskie Linie Lotnicze,Boeing 767-300/-300ER (B763),1
LOT - Polish Airlines / Polskie Linie Lotnicze,Boeing 787-8 (B788),6
LOT - Polish Airlines / Polskie Linie Lotnicze,Boeing 787-9 (B789),8
LOT - Polish Airlines / Polskie Linie Lotnicze,De Havilland Canada DHC-8-400 Dash 8 (DH8D),4
LOT - Polish Airlines / Polskie Linie Lotnicze,Embraer E175 (E75S/E75L),9
LOT - Polish Airlines / Polskie Linie Lotnicze,Embraer E190/Embraer Lineage 1000 (E190),7
LOT - Polish Airlines / Polskie Linie Lotnicze,Embraer E195 (E195),14
Lufthansa,Airbus A319-100/A319 NEO (A319/A19N),31
Lufthansa,Airbus A320-100/-200/A320 NEO (A320/A20N),120
Lufthansa,Airbus A321-100/-200/A321 NEO (A321/A21N),101
Lufthansa,Airbus A330-200/-800 NEO (A332/A338),1
Lufthansa,Airbus A330-300/-900 NEO (A333/A339),3
Lufthansa,Airbus A340-300 (A343),9
Lufthansa,Airbus A350-900 XWB (A359),46
Lufthansa,Airbus A380-800 (A388),24
Lufthansa,Boeing 737-300 (B733),2
Lufthansa,Boeing 747-400 (B744),27
Lufthansa,Boeing 747-8 (B748),56
Lufthansa,Boeing 777-200/-200ER/-200LR/F (B772/B77L),8
Lufthansa,Boeing 787-9 (B789),35
Lufthansa,Canadian Regional Jet CRJ-900/-705/Challenger 890 (CRJ9),22
Lufthansa,Embraer E190/Embraer Lineage 1000 (E190),2
Lufthansa,Embraer E195 (E195),1
Norwegian Air,Boeing 737-300 (B733),2
Norwegian Air,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),102
Norwegian Air,Boeing 787-9 (B789),3
Qantas,Airbus A320-100/-200/A320 NEO (A320/A20N),1
Qantas,Airbus A321-100/-200/A321 NEO (A321/A21N),17
Qantas,Airbus A330-200/-800 NEO (A332/A338),18
Qantas,Airbus A330-300/-900 NEO (A333/A339),13
Qantas,Airbus A380-800 (A388),14
Qantas,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),83
Qantas,Boeing 747-400 (B744),9
Qantas,Boeing 767-300/-300ER (B763),2
Qantas,Boeing 787-9 (B789),22
Qantas,Bombardier CS300/Airbus A220-300 (BCS3),11
Qantas,De Havilland Canada DHC-8-400 Dash 8 (DH8D),6
Qantas,Embraer E190/Embraer Lineage 1000 (E190),6
Qatar Airways,Airbus A320-100/-200/A320 NEO (A320/A20N),4
Qatar Airways,Airbus A330-200/-800 NEO (A332/A338),5
Qatar Airways,Airbus A330-300/-900 NEO (A333/A339),5
Qatar Airways,Airbus A340-300 (A343),1
Qatar Airways,Airbus A350-1000 XWB (A351),15
Qatar Airways,Airbus A350-900 XWB (A359),4
Qatar Airways,Airbus A380-800 (A388),14
Qatar Airways,Boeing 747-8 (B748),1
Qatar Airways,Boeing 777-200/-200ER/-200LR/F (B772/B77L),32
Qatar Airways,Boeing 777-300/-300ER (B773/B77W),52
Qatar Airways,Boeing 787-8 (B788),9
Qatar Airways,Boeing 787-9 (B789),19
Ryanair,Boeing 737-700/Boeing 737 MAX 7 (B737/B37M),3
Ryanair,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),351
Scandinavian Airlines - SAS,ATR 72 (AT72/AT73/AT74/AT75/AT76),7
Scandinavian Airlines - SAS,Airbus A319-100/A319 NEO (A319/A19N),8
Scandinavian Airlines - SAS,Airbus A320-100/-200/A320 NEO (A320/A20N),76
Scandinavian Airlines - SAS,Airbus A321-100/-200/A321 NEO (A321/A21N),2
Scandinavian Airlines - SAS,Airbus A330-300/-900 NEO (A333/A339),11
Scandinavian Airlines - SAS,Airbus A350-900 XWB (A359),11
Scandinavian Airlines - SAS,Boeing 737-700/Boeing 737 MAX 7 (B737/B37M),3
Scandinavian Airlines - SAS,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),7
Scandinavian Airlines - SAS,Canadian Regional Jet CRJ-900/-705/Challenger 890 (CRJ9),12
Scandinavian Airlines - SAS,De Havilland Canada DHC-8-400 Dash 8 (DH8D),2
Scandinavian Airlines - SAS,Embraer E195 (E195),12
Scandinavian Airlines - SAS,McDonnell Douglas MD-81/-82/-83/-88 (MD81/MD82/MD83/MD88),7
Singapore Airlines,Airbus A340-300 (A343),3
Singapore Airlines,Airbus A350-900 XWB (A359),49
Singapore Airlines,Airbus A380-800 (A388),15
Singapore Airlines,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),15
Singapore Airlines,Boeing 747-400 (B744),15
Singapore Airlines,Boeing 777-200/-200ER/-200LR/F (B772/B77L),1
Singapore Airlines,Boeing 777-300/-300ER (B773/B77W),18
Singapore Airlines,Boeing 787-10 (B78X),33
Southwest Airlines,Boeing 737-300 (B733),2
Southwest Airlines,Boeing 737-700/Boeing 737 MAX 7 (B737/B37M),113
Southwest Airlines,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),229
Spirit Airlines,Airbus A319-100/A319 NEO (A319/A19N),6
Spirit Airlines,Airbus A320-100/-200/A320 NEO (A320/A20N),54
Spirit Airlines,Airbus A321-100/-200/A321 NEO (A321/A21N),30
Star Alliance,Airbus A319-100/A319 NEO (A319/A19N),9
Star Alliance,Airbus A320-100/-200/A320 NEO (A320/A20N),25
Star Alliance,Airbus A321-100/-200/A321 NEO (A321/A21N),12
Star Alliance,Airbus A330-200/-800 NEO (A332/A338),1
Star Alliance,Airbus A330-300/-900 NEO (A333/A339),17
Star Alliance,Airbus A340-300 (A343),10
Star Alliance,Airbus A350-900 XWB (A359),5
Star Alliance,Boeing 737-300 (B733),1
Star Alliance,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),10
Star Alliance,Boeing 757-200 (B752),2
Star Alliance,Boeing 767-300/-300ER (B763),4
Star Alliance,Boeing 777-200/-200ER/-200LR/F (B772/B77L),8
Star Alliance,Boeing 777-300/-300ER (B773/B77W),14
Star Alliance,Boeing 787-10 (B78X),2
Star Alliance,Boeing 787-8 (B788),3
Star Alliance,Boeing 787-9 (B789),7
Star Alliance,Embraer E175 (E75S/E75L),2
Star Alliance,Embraer E195 (E195),5
Star Alliance,McDonnell Douglas MD-81/-82/-83/-88 (MD81/MD82/MD83/MD88),3
SunExpress,Airbus A320-100/-200/A320 NEO (A320/A20N),2
SunExpress,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),95
Swiss International Air Lines,Airbus A319-100/A319 NEO (A319/A19N),2
Swiss International Air Lines,Airbus A320-100/-200/A320 NEO (A320/A20N),15
